name,location,price,capacity,rating,reviews,description
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,109,"Brick and Ivey is North Atlanta's newest wedding venue situated in Marietta, GA."
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,"The Atrium is a contemporary wedding venue situated on a magnificent garden property in Norcross, GA."
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,206,Vecoma at the Yellow River is one of metro Atlanta’s premier all-inclusive wedding venues.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,273,"Primrose Cottage is an enchanting wedding venue located in Roswell, GA."
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,"Little Gardens in Lawrenceville, GA is a serene wedding venue with indoor and outdoor spaces."
Huntcliff River Club,"Atlanta, GA",$$,101-150 Guests,4.9,30,"The Huntcliff River Club is a wedding and reception venue located in Atlanta, GA."
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,Country Club of Roswell is a versatile wedding venue accommodating various guest numbers.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,"Flint Hill is a beautifully restored historic mansion located on a private estate in Norcross, GA."
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,The Roswell Mill is a unique and cherished piece of Southern history.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,"Roswell Historic Hall is a romantic wedding venue located in Roswell, GA."
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,164,Kimball Hall is a newly refurnished and renovated venue seating up to 200 guests.
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,Olde Towne Special Events is a full-service events facility hosting weddings and other occasions.
Naylor Hall,"Roswell, GA",,201-250 Guests,5,173,Naylor Hall is a grand old dame brought into the 21st century with a complete makeover.
The Foxglove,"Marietta, GA",$$,300+ Guests,5,3,"The Foxglove is a characterful venue welcoming weddings in Marietta, GA."
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA."
Eden Garden House,"Lithonia, GA",$$$,151-200 Guests,,,"Eden Garden House is a beautiful wedding venue in Lithonia, GA."
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5,21,Whitestone Reserve is a stunning new metro Atlanta wedding venue.
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5,1,"The Reserves at Hamilton Homes is a wedding venue located in Mableton, GA."
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.9,39,"Chattahoochee Nature Center is a wedding venue nestled in Roswell, GA."
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,112,"The 173 Carlyle House is a beautiful turn-of-the-century mansion in Norcross, GA."
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,Roswell Mill Club is a unique and cherished piece of Southern history.
Westin Atlanta Airport,"Atlanta, GA",,300+ Guests,4,4,"The Westin Atlanta Airport is a wedding venue located in Atlanta, GA."
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA",$$$,251-300 Guests,4.8,489,Ashton Gardens is the Atlanta area’s premier wedding venue with a glass chapel.
The Cotton Gin at Mill Creek,"Hiram, GA",$$,151-200 Guests,5,97,The Cotton Gin at Mill Creek is a truly all-inclusive wedding venue.
Conservatory at Waterstone,"Acworth, GA",$$,201-250 Guests,4.9,103,Conservatory at Waterstone is a historic banquet hall wedding venue.
The Wildflower Barn at Little River Farms,"Alpharetta, GA",$,101-150 Guests,5,83,"The Wildflower Barn at Little River is a historic, family-owned barn."
Payne Corley House,"Duluth, GA",$$,151-200 Guests,5,190,"Payne-Corley House is a wedding venue and restored farmhouse in Duluth, GA."
Venue 92,"Woodstock, GA",$$,151-200 Guests,4.9,89,Venue 92 can fulfill any vision for your big day with flexible event spaces.
Little River Farms,"Alpharetta, GA",$$,201-250 Guests,4.9,190,"Little River Farms is a wedding venue in Alpharetta, GA. Located just 30 minutes away from downtown Atlanta, this setting acts as a peaceful retreat away from the hustle and bustle of the city."
SomeTheme Weddings & Events,Metro Atlanta and Surrounding Areas,$$$,51-100 Guests,5,8,Looking to forego the rustic barn or industrial warehouse feel? Our venue exudes timeless elegance without feeling stuffy or outdated.
TPC Sugarloaf,"Duluth, GA",$$$,201-250 Guests,5,36,"TPC Sugarloaf is a remarkably elegant wedding venue located in Duluth, Georgia. This charming Clubhouse sits on a breathtaking ceremony lawn which overlooks the 18th hole of their championship golf course."
Foxhall Resort,"Douglasville, GA",$$$,201-250 Guests,4.2,63,"Situated in Douglasville, GA, Foxhall Resort is a picturesque wedding venue that provides couples with a full weekend experience."
Douglasville Conference Center,"Douglasville, GA",$$,300+ Guests,3,1,"Based in Douglasville, GA, the Douglasville Conference Center is a wedding venue with a purpose. With its elegant spaces, iconic downtown location, exemplary service, and track record of exciting events."
The Grande At Kennesaw,"Kennesaw, GA",$$,201-250 Guests,4,10,"Based in Kennesaw, GA, The Grande At Kennesaw is a charming Victorian-style farmhouse and wedding venue. Nestled on 2.5 acres of stunning landscaped gardens, it makes for a stunning romantic backdrop."
Vines Mansion & Gardens,"Loganville, GA",$$,300+ Guests,4.6,31,"Vines Mansion is based in Loganville, Georgia. This location has an open vendor policy which allows you to bring in your own Catering Company, DJ, Cake, Officiant, Drinks and more."
Governors Towne Club,"Acworth, GA",$$,201-250 Guests,4.2,13,"Governors Towne Club is an elegant event and wedding venue nestled in Acworth, GA, conveniently situated just 45 minutes from downtown Atlanta."
Cherry Hollow Farm,"Chattahoochee Hills, GA",$$,151-200 Guests,5,6,"Cherry Hollow Farm is an one-of-a-kind indoor/outdoor wedding and event venue. Cherry Hollow Farm includes two bars, stage, cocktail lounge, dressing rooms, industrial kitchen, and more."
Kite Manor Events & Studio,"Atlanta, Georgia and surrounding states",$$$,51-100 Guests,,,"Kite Manor Events & Studio is a unique and charming wedding venue in the south Atlanta area of Fayetteville, GA, offering polished modern indoor areas as well as rustic outdoor spaces, including pools."
Hilton Alpharetta Atlanta,"Alpharetta, GA",$$,251-300 Guests,5,1,"Hilton Alpharetta Atlanta is a hotel and wedding venue situated in Alpharetta, Georgia. Newest full-service Hilton Alpharetta hotel opened spring 2021 is nestled along Windward and North Point Parkway."
Genesis Ballroom,Atlanta Metropolitan Area,$$,251-300 Guests,,,"Established in 2022, Genesis Ballroom is an opulent wedding venue perfect for lavish occasions nestled in Suwanee, GA. This spacious setting blends elegance, contemporary and industrial stylings."
Atlanta Cosmopolitan Event Center,"Douglasville, GA",,,0,0,"Atlanta Cosmopolitan Event Center is a wedding venue located in Douglasville, GA. It offers everything you need to bring your dream wedding event to life and is conveniently located just 10 miles from."
St Ives Country Club,"Johns Creek, GA",$$$,201-250 Guests,4.7,14,"St Ives Country Club, one of Atlanta's most stunning wedding venues. Located in Johns Creek, has 45,000 square foot of stone encased clubhouse that sits majestically atop one of the highest points in."
Atlanta Marriott Alpharetta,"Alpharetta, GA",$$,300+ Guests,5,2,"The Atlanta Marriott Alpharetta is a luxurious hotel venue located in the heart of Alpharetta, GA. It is the perfect venue for couples looking to host a sophisticated and memorable event."
Breckinridge Banquet Hall,"Duluth, GA",$$,101-150 Guests,4.8,27,"Breckinridge Banquet Hall is a wedding venue located in Duluth, Georgia. This upscale venue offers a memorable locale for your wedding celebrations."
The Wheeler House and Barn,"Ball Ground, GA",$$,251-300 Guests,4.9,124,"Located in Ball Ground, GA, The Wheeler House is a rustic barn wedding venue. Bursting with Southern charm, this romantic setting is perfect for quaint countryside celebrations."
Carl House,"Auburn, GA",$$$,201-250 Guests,4.8,185,"Carl House is a wedding venue located in Auburn, GA. This historic home is presented to prospective newlyweds as an elegant destination for wedding celebrations complete with beautiful grounds and a manicured lawn."
The Venue at Stillwater Pond,"Temple, GA",$$,151-200 Guests,,,"The Venue at Stillwater Pond is a stunning wedding venue located in Temple, GA. Nestled on 53 acres of picturesque property and with views of enchanting forestry and green pastures."
Lillian Gardens,"Newnan, GA",$$$,151-200 Guests,5,37,"Lillian Gardens is a full-service event venue dedicated to providing professional planning services for all special occasions, while ensuring unique client experiences in a spacious mansion and garden."
In The Woods,"Rockmart, GA",$$$,201-250 Guests,5,23,"In the Woods is North Georgia's newest state-of-the-art Wedding and Event Venue. Located in Rockmart, GA on a family-owned beautiful secluded property, this charming and rustic location is the perfect."
Lanier Islands Weddings,"Buford, GA",$$$,300+ Guests,4.7,170,"Located 45 minutes North of Atlanta, Lanier Islands Weddings provides breathtaking backdrops, world class amenities, and an incredible variety of venues, all within reach."
The Engine Room,"Monroe, GA",,300+ Guests,4.9,32,"The Engine Room at Monroe Cotton Mills is a unique wedding venue located near Atlanta in historic downtown Monroe, GA. The Engine Room offers historical elegance with modern convenience."
Koury Farms Weddings & Events,"Auburn, GA",$$,151-200 Guests,5,112,"Located in Northeast GA, between Atlanta and Athens, Koury Farms Weddings & Events, LLC is the venue you didn't think you would find!! From the smallest detail to the big picture."
Bradford House and Gardens,"Flowery Branch, GA",$$,101-150 Guests,5,42,"Bradford House and Gardens is a classic, southern home wedding venue nestled on seven gorgeous acres at the southern part of Lake Lanier in Flowery Branch, GA."
Vinewood Stables,"Newnan, GA",$$$,201-250 Guests,4.9,91,"Vinewood Stables is a historic homestead and wedding venue located in the quaint community of Newnan, GA. This idyllic property's crowning gem is the original farmhouse."
Four Oaks Manor,"North Georgia, Metro-Atlanta",$$,101-150 Guests,4.7,50,"Four Oaks Manor is a garden wedding venue located in Buford, GA. We plan weddings and events at our amazing historic farmhouse, circa 1900s."
Hi-Def Events,GA,$$,251-300 Guests,5,11,"Hi-Def Events offers dazzling, modern, yet timeless event venue settings, ideal for your unique style! There are now TWO LOCATIONS to choose from."
The Gathering at Golden Creek,"Bremen, GA",$$$,201-250 Guests,0,0,"Situated on 23 acres of peaceful property, The Gathering at Golden Creek is a wedding venue located in Bremen, GA. The numerous event spaces throughout this venue make it the perfect place to celebrate."
Fendley Farmstead LLC,"Canton, GA",$$,151-200 Guests,5,114,"Fendley Farmstead, LLC is a picturesque farm wedding venue located in Canton, GA. Nestled in the scenic countryside of rural Georgia, this estate provides historic settings and expansive pastures."
Cherokee County Conference Center @ The Bluffs,"Canton, GA",Not specified,251-300 Guests,5,3,"Over 8,000 sq ft of conference space, Four configurable conference floor areas, Sutali Room (75 Dining Seats), Warluskee Room (150 Dining Seats), Sequoyah Room (275 Dining Seats), Advanced technology."
Mystic Acres Barn,"Griffin, GA",$$,251-300 Guests,0,0,"Mystic Acres Barn is a beautiful wedding venue located in Griffin, GA. Its origin story is rooted in a daughter's dream to have her wedding on her family farm, which was brought to life through her father's vision."
"The Venue at Sharp Mountain, LLC","Jasper, GA",$$$,251-300 Guests,5,63,"Voted The Knot Best of Weddings, WeddingWire Couples' Choice, and Georgia Business Journal Best of Regional winner. The Venue at Sharp Mountain, LLC is a wedding and events venue located in Jasper, GA."
Sage Cottage,"Adairsville, GA",$$,151-200 Guests,4.6,11,"Where Cozy Cottage Charm Meets Timeless Elegance Welcome to Sage Cottage, the premier wedding venue in North Georgia, where your dream wedding becomes a reality. On 13 picturesque, wooded acres, our."
The Willows Farm,"Marble Hill, GA",$$,201-250 Guests,5,98,"Located in Marble Hill, GA, The Willows Farm is a country event venue that hosts weddings and other special occasions. This picturesque property is nestled in the rolling hills of Georgia, amid 300 pa."
The Georgia Club,"Statham, GA",$$$,251-300 Guests,4.8,5,"The Georgia Club is a one-of-a-kind wedding venue in Statham, GA. An outdoor wedding garden, an indoor ceremony location, two reception venues with customizable floor plans for up to 300 people, and a."
Beautiful Beginnings Farm,"Newborn, GA",$,101-150 Guests,4.9,136,Hello everyone. We are pleased to introduce ourselves to you. Our names are David and Lisa. We are a happily married couple and the owners of Beautiful Beginnings Farm. The peculiarity of our wedding.
The Tate House,"Tate, GA",$$$,201-250 Guests,4.9,35,"The Tate House is a historic wedding venue situated in Tate, GA, an hour's drive from downtown Atlanta. First built in 1921, this mansion is constructed with Etowah pink marble, giving it a breathtaki."
Hightower Falls,"Cedartown, GA",$$,251-300 Guests,4.9,92,"Always dreamed of a waterfall wedding? Hightower Falls is a picturesque wedding venue located in Cedartown, Georgia. With a natural 80 ft. waterfall and a historic 1850's gristmill ruins, this venue."
Swan Lake Overlook,"Dawsonville, GA",$$$,251-300 Guests,5,11,"Nestled in the countryside of Dawsonville, GA, Swan Lake Overlook is a modern and elegant wedding venue. The estate sits on over 200 acres of gorgeous natural landscape and is home to many exciting an."
Autumn Oaks of Winder,"Winder, GA",$$,101-150 Guests,5,2,"In the heart of Winder, GA, sits a charming wedding venue, perfect for hosting your celebration. Autumn Oaks of Winder is owned by Charles Howard, who envisioned a space where loved ones could gather."
Magnolia Creek Farms,"Adairsville, GA",$$$,300+ Guests,5,5,"Located in Adairsville, GA, Magnolia Creek Farms is a countryside setting ideal for weddings and special occasions. This venue features 170 acres of tranquil grounds and is nestled in the scenic footh."
Barn South,"Talmo, GA",Not specified,201-250 Guests,5,11,"Welcome to Barn South. We think you'll feel at home here. Located north of Atlanta in Talmo, GA, Barn South exemplifies a luxury Southern destination with natural character. Crafted by the vision of."
Gaither's at Myrtle Creek Farm,"Covington, GA",$$,151-200 Guests,5,3,"Located in the rolling hills of Covington, GA, in Southern Newton County sits Gaither's at Myrtle Creek Farm, a historic setting for weddings and other special events. This county-owned venue exudes r."
Spring Lake Events,"Rockmart, GA",$$,151-200 Guests,5,20,The calm waters of our beautiful lake and the wispy willow trees framed in cattails will take your breath away at Spring Lake. Imagine candles on the lake and wind chimes in the trees as you sit in ou.
"Thompson House & Gardens, 9 Oaks Farm, & 2425 Warehouse","Bogart, GA",$$,151-200 Guests,4.9,68,"We offer three beautiful venues: The Thompson House and Gardens which is a stunning vintage Victorian home built in 1888 in Bogart, Georgia. The Thompson House and Gardens embraces nature and elegan."
1051 Baxter,"Athens, GA",$$,251-300 Guests,5,1,"1051 Baxter is a brand new events facility in the heart of Athens, GA. The 6000 square foot venue can host weddings and gatherings for up to 300 depending on the event type and requirements. Ceremoni."
"Bogle Farm, LLC","Greenville, GA",$$$,251-300 Guests,4.9,48,"Located in Greenville, GA, Bogle Farm, LLC is an award willing, idyllic wedding venue. Over 13 years, this venue has provided a micro/resort for guests to enjoy, offering access to nature and a sense."
The Chapel Athens,"Athens, GA",$$$,251-300 Guests,5,17,"Situated in Athens, GA, The Chapel Athens is a pristine downtown estate for weddings, engagements, and anniversaries. Your event can be a fairytale dream come true with various indoor and outdoor even."
2400 On The River,"Ranger, GA",$$$,151-200 Guests,4.9,35,"2400 On The River is a rustic riverfront wedding venue located near Calhoun, GA. Surrounded by the foothills of the Appalachian Mountains and overlooking the Coosawattee River, this peaceful retreat o."
Juliette Chapel,"Dahlonega, GA",$$,51-100 Guests,5,36,"Juliette Chapel & Events in Dahlonega, GA is a wedding venue ideal for intimate affairs. Couples looking to host smaller, private celebrations will be interested in this space. It is also ideal for el."
The Sixty Two,"Atlanta, GA",$$,151-200 Guests,4.9,2,"The Sixty Two is a unique wedding venue in Atlanta, GA, that sets the stage for the celebration of a lifetime. The venue offers a luxurious space where you and your guests can make magical memories as."
Taylor Estate,"Rome, GA",Not specified,Not specified,5,2,"The Lodge at Taylor Estate is a newly-built, elegant venue that can accommodate up to 350 guests. Our bi-fold doors allow you to enjoy the elegance of the interior while experiencing the breathtaking."
Summit Farm Weddings,"Ellijay, GA",$$,101-150 Guests,4.9,117,"Up in the serene Blue Ridge Mountains of Ellijay, GA, sits Summit Farm Weddings, an enchanting countryside event venue with a panoramic view of the Appalachian Mountains. The property is owned and ope."
Ivy & Oak,"Talking Rock, GA",$$,151-200 Guests,5,35,"A breath taking venue nestled in the North Georgia mountains! This is not your average barn. Here at Ivy & Oak, we have added a chic & elegant design that flows indoors and out. We have a Bridal Hou."
The Venue on Broad,"Athens, GA",$$,201-250 Guests,5,4,"The Venue on Broad, nestled in the heart of Athens, GA, offers an unparalleled setting for your wedding day. With its unique style that fuses an old New Orleans vibe with industrial architecture, this."
Ott Vineyards and Winery,"Ellijay, GA",Not specified,Not specified,0,0,"Located in Ellijay, GA, Ott Vineyards and Winery is a family-owned-and-operated venue for weddings and other special events. Set on 20 lush acres, this scenic property has panoramic views of beautiful."
255 Milledge | Hardeman-Sams Estate,"Athens, GA",$$$,151-200 Guests,4.9,123,"About 255 Milledge, Hardeman-Sams Estate At 255 Milledge, we believe that life’s greatest moments deserve nothing less than extraordinary celebrations. Nestled in the heart of Athens, Georgia, our hi."
27 on Park,"Dahlonega, GA",$$$,51-100 Guests,5,3,"27 on Park is a boutique hotel and wedding venue located in downtown Dahlonega, GA. Nestled amongst the North Georgia mountains, this property offers serenity and city charm in equal measure. With 14."
Strawberry Roan Farm's Barn,"Dahlonega, GA",$$,101-150 Guests,5,1,"Strawberry Roan Farm's Barn is a stunning and unique wedding venue located in Dahlonega, GA. This rustic-chic venue in beautiful Dahlonega is the perfect place to begin your marriage journey. On you."
Georgian Hall,"Athens, GA",$$$,201-250 Guests,5,103,"The Georgian Hall is a wedding venue nestled in Athens, GA. This elegant location is ideal for wedding ceremonies and receptions, as well as showers and rehearsal dinners."
The Falls at Blue Ridge,"Blue Ridge, GA",$$$$,251-300 Guests,4.3,4,"Nestled on 700 acres in the Blue Ridge Mountains of Georgia, The Falls at Blue Ridge is a stunning wedding and event venue that offers breathtaking views, gorgeous indoor and outdoor spaces, rustic-luxury."
Cloverleaf Farm,"Arnoldsville, GA",$$,300+ Guests,4.9,72,"Cloverleaf Farm is a stunning wedding venue set amidst a 30-acre farm just outside of Athens in Arnoldsville, GA."
CeNita Venue at CeNita Vineyards & Winery,"Cleveland, GA",$$,151-200 Guests,5,73,"CeNita Venue at CeNita Vineyards is a wedding venue in the foothills of the Northeast Georgia Mountains in Cleveland, GA."
Grant Hill Farms,"Commerce, GA",$$,201-250 Guests,5,70,"Nestled among 88 acres of peaceful Commerce, GA, farmland, the venue at Grant Hill Farms is the perfect place for your wedding or special event."
Yonah Mountain Vineyards,"Cleveland, GA",$$$,201-250 Guests,4.9,49,"Yonah Mountain Vineyards is a charming, sprawling wedding venue located in Cleveland, GA."
South Elm Events,"Commerce, GA",$$,101-150 Guests,5,3,"South Elm Events: Weave Your Fairytale Wedding Imagine your dream wedding: a breathtaking ceremony bathed in sunlight, an elegant reception filled with laughter."
The Farm at Ashley Ridge,"Cleveland, GA",$$,151-200 Guests,5,12,"The Farm at Ashley Ridge is a serene countryside wedding venue located in Cleveland, GA."
McEachin Farm,"Danielsville, GA",$$,101-150 Guests,5,2,"McEachin Farm is a stunning wedding venue in Atlanta, GA, that sets the stage for the celebration of a lifetime!"
Enotah Valley Event Center,"Blairsville, GA",$$,51-100 Guests,5,5,"Enotah Valley Event Center is a rustic setting for weddings located in Blairsville, GA."
Butler Hall Events,"Gray, GA",$$,201-250 Guests,5,1,"Butler Hall Events is a historic wedding venue in Gray, Georgia, originally a large car garage, lovingly restored to create a modern event facility."
Walnut Hill Farm,"Dalton, GA",$$,300+ Guests,4.8,16,"Walnut Hill Farm offers classic Southern elegance in the North Georgia Mountains with majestic mountain views, formal and informal gardens, orchards, and a beautifully landscaped pond."
Overlook 55,"Young Harris, GA",$$$$,151-200 Guests,5,7,"Overlook 55 is a captivating wedding venue that seamlessly blends rustic charm with timeless elegance in Young Harris, GA."
Brasstown Valley Resort & Spa,"Young Harris, GA",$$$,151-200 Guests,4.9,79,"Brasstown Valley Resort & Spa in Young Harris, GA, offers breathtaking mountain views, unique venues, an 18-hole championship golf course, and a full-service spa."
The Barn at Young Harris,"Young Harris, GA",$$$,151-200 Guests,5,42,The Barn at Young Harris is a dream setting for couples looking for a rustic wedding with breathtaking panoramic views of Brasstown Bald Mountain.
Bend of The River,"Hiawassee, GA",$$,300+ Guests,0,0,"Bend of the River is a gorgeous, tranquil wedding venue on Lake Chatuge in Hiawassee, Georgia, offering natural beauty with a 100-foot waterfall."
The Ridges Resort on Lake Chatuge,"Hiawassee, GA",$$$,201-250 Guests,4.9,46,"The Ridges Resort on Lake Chatuge is a lakeside mountain resort in Georgia, surrounded by the Blue Ridge Mountains with a grand ballroom."
The Estate at Stone Creek,"Macon, GA",$$,201-250 Guests,4.8,5,"The Estate at Stone Creek offers a historic setting on over 100 acres of beautiful landscape in Macon, GA."
Rustic Vows,"Mineral Bluff, GA",$$,51-100 Guests,0,0,"Rustic Vows offers an idyllic barn-style setting for weddings in Mineral Bluff, GA."
Lake Rabun Hotel & Restaurant,"Lakemont, GA",$$,101-150 Guests,5,2,"Lake Rabun Hotel & Restaurant features two covered, open-air decks and a cozy indoor gas fireplace for intimate wedding celebrations."
Currahee Club,"Toccoa, GA",$$$,101-150 Guests,5,10,"Currahee Club offers serene lake and mountain views with a blend of sophistication and rustic charm in Toccoa, GA."
Meadows at Mossy Creek,"Cleveland, GA",$$$$,251-300 Guests,5,39,"Meadows at Mossy Creek is a stylish and contemporary wedding venue with indoor and outdoor spaces in Cleveland, GA."
Hawkesdene,"Andrews, NC",$$$,101-150 Guests,5,58,"Hawkesdene is a Private Mountain Estate located in Andrews, NC, offering a unique wedding setting in the mountains of Western North Carolina."
The Dogwood Barn at G5Ranch,"Milledgeville, GA",$$$,300+ Guests,5,16,"The Dogwood Barn at G5Ranch is a premier wedding venue on over 600 acres in Milledgeville, GA, ideal for rustic romantic events."
Tryphena's Garden,"Fort Valley, GA",$$,151-200 Guests,4.9,18,"Tryphena's Garden is a fairytale-like wedding venue near Atlanta and Macon, offering convenience and comfort in Fort Valley, GA."
Cloudland at McLemore Resort,"Rising Fawn, GA",$$$,251-300 Guests,4.2,6,"Cloudland at McLemore Resort on Lookout Mountain offers breathtaking views and magical wedding settings at 2,300 feet above sea level."
Tiger Mountain Vineyards,"Tiger, GA",$$$,101-150 Guests,5,1,"Tiger Mountain Vineyards offers a charming and intimate setting for outdoor weddings with a romantic vineyard backdrop in Tiger, GA."
Skull Shoals Park,"Washington, GA",$$,300+ Guests,0,0,"Skull Shoals Park is a 68-acre outdoor venue located in Historic Washington, GA, ideal for couples who want to be surrounded by nature on their wedding day."
Windsong Willows,"Hayesville, NC",$$,101-150 Guests,5,3,"Windsong Willows is a charming new wedding venue in Hayesville, NC, designed for couples seeking an authentic nature-based wedding experience."
Forest Hill Park,"Perry, GA",$$,51-100 Guests,4.9,21,"Forest Hill Park offers a picturesque 1920's white wedding chapel, a red train car for getting dressed, and beautiful picture opportunities in Perry, GA."
Kingsland Farm,"Hawkinsville, GA",$$,151-200 Guests,5,1,A picturesque and reclusive wedding venue surrounded by calm rural beauty.
